title,author,預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,time_left,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price
國際頂尖法式甜點主廚郭士弘 X 農遊趣台灣精品地瓜 │ 法生愛情。流芯醉月中秋禮盒,農遊趣,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,331867,success,33,1,80,200000,14340,1,8.0,0,0,1,0,10,"[798, 988, 988, 4790, 9380, 18360, 26640, 1888, 390, 390]"
▋自在食刻 ▋挑戰全台最低熱量，美味蒟蒻拌麵｜接近零醣｜無需烹煮保證飽足 ｜耗時秘製醬汁｜減脂聖品,唐翰有限公司,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,507017,success,28,2,427,50000,14340,0,11.0,0,0,1,0,5,"[535, 939, 3564, 6558, 15444]"
自己動手研磨動物造型毛積木│用色彩完成專屬的彩繪想像│ 純味原木自帶溫度，童心繪畫格外療癒。,ZAKKA Caesar & Rena 澄實旅郵雜貨店,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47350,success,39,3,44,10000,14340,0,12.0,0,0,1,1,8,"[890, 1000, 1160, 1260, 940, 1090, 1290, 1390]"
【 Bebe Foot | 拋光美足棒】韓國設計製造，輕柔均勻去死皮，還原股溜少女少男足！,Bebe Foot Taiwan,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144590,success,64,2,142,10000,14340,4,4.0,0,0,1,0,8,"[1075, 450, 850, 690, 1300, 4000, 550, 790]"
【5in1 真空保鮮機】5 倍延長保鮮，2 倍縮小體積．秤重分裝、真空封口一機搞定！,Sealito Taiwan,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5217199,success,69,2,2724,100000,14340,72,13.0,0,0,0,0,15,"[4590, 2190, 4180, 199, 2390, 9950, 18900, 2090, 2190, 3980, 4180, 2390, 9950, 18900, 199]"
【 SmartRope Donut｜藍牙智慧空氣跳繩 】設計輕巧好收納，開啟居家健身運動全新可能！,SMARTROPE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1105422,success,47,1,656,50000,14340,6,9.0,1,1,1,1,8,"[1600, 1850, 3550, 8400, 500, 1440, 1630, 3110]"
【 FoodCycler｜廚餘大師 】極致乾燥研磨，懶人也能搞定不髒手，廚餘變泥土，療癒又清新！,theAxiom 安德家品,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56276572,success,75,3,7185,100000,14340,183,9.0,1,0,1,0,12,"[8980, 680, 9280, 88000, 8980, 8980, 680, 9280, 88000, 8800, 8800, 680]"
【好裹物２代】比百寶袋更便利萬用！一貼即合 包裹萬物，美觀收納、防護一次搞定！,CONNACT Inc.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5750888,success,75,2,4213,100000,14340,36,18.0,1,0,1,1,15,"[1210, 1400, 2400, 770, 960, 1800, 2550, 3450, 4200, 690, 880, 1140, 1140, 2200, 1210]"
【THE SOCKS PURE 純粹襪】每時每刻絕不鬆脫，陪伴你全力以赴每一場挑戰 ! ,3ONION 三蔥國際,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53720,success,39,10,38,30000,14340,0,2.0,0,0,0,0,7,"[1440, 2640, 470, 840, 1560, 2880, 3960]"
【 MORR｜斜前開雨衣 2.0 】重磅回歸，全面升級！夏日雨天的最佳防護罩！,MORR,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6284688,success,76,1,2868,60000,14340,85,10.0,1,0,0,0,30,"[1850, 1899, 3580, 1899, 3480, 1850, 1899, 3288, 1750, 1799, 1799, 1899, 3380, 1750, 3380, 1850, 1850, 1899, 1799, 3580, 3580, 16500, 1799, 1650, 1850, 1899, 3580, 1899, 1899, 16500]"
【Purple Pure 紫光淨】除菌棒，你我健康相伴！,Purple Pure 紫光淨,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,101590,success,28,1,14,100000,14340,0,8.0,1,0,1,0,5,"[2680, 3280, 5600, 13750, 26500]"
【PUGCHI｜最懂毛寶貝的手工水晶項圈】環保生態棉繩搭配療癒水晶｜新時代寵物必備 全方位提升健康與智慧,TITC Studio 時創科技,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69068,success,36,2,66,60000,14340,0,3.0,0,0,1,0,7,"[348, 1980, 888, 1288, 2500, 4500, 1150]"
BODIC 美人好眠美腿枕｜從頭到腳的呵護 享受如同蛋糕般甜蜜美夢,aka-ilife,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,460900,success,69,1,147,50000,14340,4,,1,1,1,1,9,"[3850, 2000, 3700, 2200, 7550, 4100, 590, 2380, 2100]"
【美國 Adonit Dash4 ｜首創萬用觸控筆 】一秒切換使用裝置、超高CP值 讀書/辦公/筆記必備～相見恨晚！,Adonit TW,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1319408,success,29,1,843,100000,14340,65,12.0,1,1,1,1,6,"[1780, 1880, 3560, 8400, 270, 1680]"
【蹦蹦跳｜２合１植萃牙膏刷｜貓狗皆適用】全台第一支！結合牙刷＆牙膏， MIT 寵物牙膏刷,bonbonpet 蹦蹦跳,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,568696,success,39,1,691,100000,14340,2,13.0,1,0,1,1,4,"[588, 988, 1966, 966]"
